Article title,Year,Author(s),No. Author(s),Type of institution,Name of the institution(s),No. institution(s),Study area,No. Study area,Country of study,Region,Country Development level,Size of companies,Journal,Journal field,FI - SJR,Quartile SJR,FI - JIF,Quartile JCR,Keywords,Article approach,Methodology,Type,Orientation,Theory,Determinants,Barriers,Characteristic of sustainable value creation,CSV Related to other concepts and theories
Role of creative classes in sustainable agricultural development: focusing on creating shared value in rural Japan,2023,"Lily Kiminami, Shinichi Furuzawa, Akira Kiminami",3,University,University of Tokyo; University of Tokyo of Agriculture and Technology,2,"Sustainable agriculture, shared value creation, creative classes, rural development, Japan",5,Japan,"Asia
",Developed,"SMEs
",Asia-Pacific Journal of Regional Science,Ciencia Regional / Desarrollo Agrícola y Rural,0.6,Q2,2.5,Q3,"Creative class, creating shared value (CSV), latent class analysis (LCA), structural equation modeling (SEM), agriculture, Japan",Quantitative and Theorical,Encuesta a 1.000 agricultores + LCA (Latent Class Analysis) + SEM + análisis de mapas cognitivos,Empirical / Conceptual,Predictive / Exploratory,Creative Class Theory; Creating Shared Value (Porter & Kramer); Social Entrepreneurship; Agricultural Multifunctionality,"Assessment of agricultural multifunctionality, entrepreneurial attitude, entrepreneurial environment, preference for sustainable policies","Low risk propensity, concentration of CC in urban areas, scarce interregional network, traditional agricultural environment",Simultaneous generation of economic and social value through agricultural enterprises led by creative classes,"Related to policy innovation, sustainable rural development, social entrepreneurship, co-creation of value with stakeholders, national agricultural strategy"
Activating the different sides of top management team faultlines in enterprise sustainable development: Is environmental responsibility a burden or boost to SMEs in China?,2023,"Chen, L.; Zhou, Y.; Luo, X.; Chen, S.; Cao, Y.",5,University,"Zhejiang Gongshang University, Zhejiang University of Technology, Zhejiang University of Finance and Economics",3,"Environmental responsibility, business performance, management teams, SMEs",4,China,"Asia
",Developing,SMEs,Business Strategy and the Environment,"Negocios, Estrategia, Medio Ambiente",1.81,"Q1
",10.6,"Q1
","Environmental responsibility, SMEs, firm performance, TMT faultlines, bankruptcy threat, China",Quantitative,"Econometric analysis with data from 410 Chinese GEM (Growth Enterprise Market) listed companies (2011–2020), regressions, interaction models, and moderation analysis",Empirical,Predictive / Explanatory,"Management team faultline theory (TMT), need for cognitive closure, threat rigidity hypothesis","Assessment of agricultural multifunctionality, entrepreneurial attitude, entrepreneurial environment, preference for sustainable policies","High investment in environmental responsibility, scarcity of resources, lack of organizational capacities, financial pressure","Environmental responsibility can diminish long-term performance if it is forced or reactive; it can improve if it is well managed by cohesive, unthreatened management teams.","Linked to business sustainability, corporate governance, institutional theory, and strategic decision-making under pressure"
Pursuing Long-Term Business Performance: Investigating the Effects of Financial and Technological Factors on Digital Adoption to Leverage SME Performance and Business Sustainability,2023,"Kurniasari, F.; Lestari, E.D.; Tannady, H.",3,University,Multimedia Nusantara University,1,"Digital adoption, business sustainability, financial and technological factors, FinTech, traditional SMEs",5,Indonesia,"Asia
",Developing,SMEs,Sustainability,"Multidisciplinary (Business, Technology, Sustainability)",1.9,Q2,3.9,Q2,"Business sustainability, SME performance, digital adoption, financial factor, traditional market",Quantitative,"Survey of 225 SMEs (traditional markets), SEM-PLS analysis, 5-point Likert scale, bootstrapping validation",Empirical,Predictive,"Resource-Based View (RBV), UTAUT (Unified Theory of Acceptance and Use of Technology)","Financial literacy, financial access, performance expectancy, effort expectancy, social influence","Financial risks, low FinTech usage, poor financial education, lack of access to capital","Digitalization improves operational efficiency, financial access, and business performance; it boosts sustainability.","Related to digital innovation, financial inclusion, sustainable development, technological transformation, FinTech"
Activating the different sides of top management team faultlines in enterprise sustainable development: Is environmental responsibility a burden or boost to SMEs in China?,2023,"Chen, L.; Zhou, Y.; Luo, X.; Chen, S.; Cao, Y.",5,University,Zhejiang Gongshang University; Zhejiang University of Technology; Zhejiang University of Finance and Economics,3,"Environmental responsibility, business performance, SMEs, team management, TMT faultlines",5,China,"Asia
",Developing,SMEs,Business Strategy and the Environment,Business / Sustainability,3.61,"Q1
",N/A,N/A,"SMEs, environmental responsibility, business performance, TMT faultlines, threat of bankruptcy, sustainability",Quantitative,Panel analysis using data from 410 GEM-listed companies (2011–2020); multiple regressions with moderators,Empirical,Explanatory / Predictive,"Faultline theory in management teams; ""Threat Rigidity""","Level of environmental commitment, composition of the management team (gender, age), proximity to bankruptcy","Environmental costs, uncertain returns, organizational weakness in SMEs, regulatory pressure","Environmental responsibility can negatively impact performance if it is reactive and under threat; but with cohesive TMTs and in stable contexts, it can drive business sustainability.","Related to CSR, management team theory, organizational performance, competitive advantage, stakeholder theory"
Pursuing Long-Term Business Performance: Investigating the Effects of Financial and Technological Factors on Digital Adoption to Leverage SME Performance and Sustainability,2023,"Kurniasari, F.; Lestari, E.D.; Tannady, H.",3,University,Multimedia Nusantara University (Indonesia),1,"Digital adoption, business sustainability, financial factors, financial technologies, traditional SMEs",5,Indonesia,"Asia
",Developing,SMEs,Sustainability,Multidisciplinary / Sustainable Development / Business,0.69,"Q1
",N/A,N/A,"SMEs, digital adoption, financial literacy, financial accessibility, fintech, business performance, sustainability",Quantitative,Survey of 225 traditional SMEs; SEM-PLS analysis with SmartPLS 4,Empirical,Predictive / Explanatory,Resource-Based View (RBV); UTAUT (Unified Theory of Acceptance and Use of Technology),"Financial literacy, financial accessibility, performance expectations, ease of use, social influence","Financial risks, low digital adoption, poor technological preparation, poor financial education","Digital and financial adoption improves the efficiency, competitiveness, and operational sustainability of SMEs.","Related to sustainability, technological innovation, financial inclusion, UTAUT, RBV"
Model of Value Transfer in Crowdfunding and Sustainable Development of Small and Medium-Sized Enterprises in Poland—Based on Survey Research,2023,"Kukurba, M.; Salwin, M.; Waszkiewicz, A.E.",3,University,Warsaw University of Technology; SGH Warsaw School of Economics,2,"Crowdfunding, sostenibilidad, modelo de negocio, creación de valor, SMEs",5,Polonia,Europe,Developed,SMEs,Sustainability,Multidisciplinary / Sustainability,0.69,"Q1
",N/A,N/A,"Crowdfunding, sustainable value, business model, SMEs, value co-creation, alternative financing",Quantitative / Theorical,Survey of 121 companies + ANOVA statistical analysis + E3 value creation model,Empirical / Exploratory,Predictive / Explanatory,Value-Based Management (VBM); Norton-Kaplan Balanced Scorecard; E3 Value Methodology,"Access to CF, type of CF (donation, reward, equity), value drivers, cost structure, network of actors","Risk of copying ideas, tax obligations, lack of clear regulation, campaign costs","Interactions with stakeholders through CF, creation of economic, social and environmental value, strengthening of the business model","Linked to sustainability, social innovation, value co-creation, network theory, Balanced Scorecard, sustainable business models"
The effects of soft total quality management on the sustainable development of SMEs,2023,Kari Lepistö; Minna Saunila; Juhani Ukko,3,University,LUT University (Finland),1,"Soft TQM, environmental and social sustainability, SMEs, business management, EFQM",5,Finland,Europe,Developed,SMEs,Sustainable Development,Sustainability / Sustainable Development,1.922,"Q1
",N/A,N/A,"Soft TQM, environmental sustainability, social sustainability, quality management, EFQM, SMEs, Finland",Quantitative,Survey of 271 Finnish SME CEOs; regression analysis; hypotheses based on EFQM and literature,Empirical,Predictive,Total Quality Management (TQM); Triple Bottom Line (TBL); EFQM,Business management practices; HR practices; evolving processes; stakeholder identification; supply chain,"Lack of resources, low managerial commitment, little training, low pressure from large companies",TQM as a sustainability enabler; continuous improvement; employee engagement; strategic quality vision,"Related to TBL, EFQM, strategic quality management, CSR, corporate environmental and social responsibility"
Exploration of small and medium entities' actions on sustainability practices and their implications for a greener economy,2023,"Hammed Afolabi, Ronita Ram, Khaled Hussainey, Monomita Nandy, Suman Lodh",5,University,University of Reading; University of Portsmouth; Brunel University London; Kingston University London,4,"Carbon emissions, EMS, SME perception and behavior, sustainability, green economy",5,United Kingdom,Europe,Developed,SMEs,Journal of Applied Accounting Research,Accounting / Sustainability,0.925,"Q1
",N/A,N/A,"Carbon emissions, environmental management system, SME, net zero, UK, sustainability practice, greener economy",Qualitative,"26 semi-structured interviews with owners/managers of SMEs in various sectors (construction, food, tourism, etc.)",Exploratory / Empirical,Descriptive / Normative,Mirroring theory; legitimacy; stakeholders,"External pressure (customers, banks), commitment to the environment, perception of benefits, ethical motivation","Distrust in the government, lack of resources, lack of awareness of EMS, confusing policies, perception of low impact, voluntary reporting","Improved reputation, alignment with customers and banks, development of internal green policies, transition to zero emissions","Related to the green economy, ESG, SDGs, organizational legitimacy, corporate governance, mirroring, integrated environmental management in the supply chain"
Sustainable Entrepreneurship Practices as Predictor of Micro Enterprises Performance in Rural Context: A Structural Equation Modelling Approach,2023,"Siti Fahazarina Hazudin, Suhanom Mohd Zaki, Muhammed Soffiq Saripin, Faizan Abd Jabar, T. Ramayah, Noor Izyan Mohamad Adnan",6,University,"Universiti Teknologi MARA; Universiti Sains Malaysia; Universiti Teknologi Malaysia; Universidad en Bangladesh, Jordania, India, Universiti Malaysia Terengganu",8,"Sustainable entrepreneurship, microenterprises, business performance, sustainability practices, rurality",5,Malasia,"Asia
",Developing,SMEs,Journal of Sustainability Science and Management,Sustainability / Administration,0.202,Q3,N/A,N/A,"Enterprise performance, rural entrepreneurship, small business, structural equation modelling, sustainable entrepreneurship",Quantitative,Survey of 150 rural microenterprises in Malaysia; SEM analysis (Smart PLS 3.3.9); statistical validation,Empirical,Predictive,Stakeholder Theory,"Staff skills, financial management, marketing skills","Low environmental awareness, lack of resources, weak organizational management, limited implementation of sustainable practices","Improving performance through financial, marketing, and personal skills; boosting rural employment and economic growth","Related to triple bottom line, sustainable development, social entrepreneurship, entrepreneurial skills"
Green Innovation and Creating Shared Value on Achievement of Environmental Development Pillar in Indonesian Energy Sector,2023,"Ang Swat Lin Lindawati, Yoan Dwilliam Agata, Bambang Leo Handoko",3,University,Bina Nusantara University (Indonesia),1,"Green innovation, creating shared value, sustainability, energy, sustainability reporting",5,Indonesia,"Asia
",Developed,Energy sector companies (including large and some IDX SMEs),International Journal of Sustainable Development and Planning,Sustainability / Sustainable Development,1.047,"Q1
",N/A,N/A,"Green innovation, creating shared value, environmental development pillars, sustainable development goals, Indonesia, SDGs","Mixed (quantitative + qualitative)
",Content analysis (sustainability reports) + multiple linear regression (SPSS); sample of 50 reports from 10 energy sector companies from the IDX,Empirical / Exploratory,Explicativa y predictiva,Legitimacy theory; stakeholder theory,"Green innovation (products, processes), CSV activities (high materiality), stakeholder engagement, biodiversity, transparency","Low level of SDG disclosure, lack of understanding of the environmental pillar, weak regulatory commitment","CSV and Green Innovation strengthen environmental pillars (water, energy, biodiversity); they contribute to reducing impacts and meeting ESG standards.","Linked to SDGs (Sustainable Development Goals), sustainable business strategy, corporate legitimacy, corporate social responsibility (CSR)"
Sustainability Practices and Performance in European Small-and-Medium Enterprises: Insights from Multiple Case Studies,2023,"Moursellas, A.; De, D.; Wurzer, T.; Skouloudis, A.; Reiner, G.; Chaudhuri, A.; Manousidis, T.; Malesios, C.; Evangelinos, K.; Dey, P. K.",10,University,"Various European universities (Greece, United Kingdom, Austria, Denmark, etc.)",5+,"Sustainability practices, environmental/social/economic performance, SME management",3,"United Kingdom, Greece, Denmark, Austria",Europe,Developed,SMEs,Circular Economy and Sustainability,Circular economy / business sustainability,1.047,"Q1
",N/A,N/A,"SMEs, sustainability practices, performance, case study, drivers, barriers",Qualitative,"Multiple case studies (12 SMEs), semi-structured interviews with owners/managers",Exploratory / Descriptive,Diagnostic / proactive,Resource-Based View (RBV),"Organizational culture, leadership commitment, national legislation, customer pressure, access to funds, certifications, energy efficiency","Lack of clear legislation, low sustainability orientation, lack of technical knowledge, bureaucracy, low incentives for sustainable practices","Reuse and recycling, local collaboration, energy efficiency, social and environmental responsibility with economic impact","Related to circular economy, stakeholder theory, triple bottom line, environmental management, corporate sustainability"
Sources of sustainable competitive advantage and direction of development: a study on pharmaceutical SMEs,2023,"Phung Tieu Nguyen, Binod Timilsina",2,University,University of Vaasa (Finlandia),1,"Operations strategy, sustainable competitive advantage, knowledge and technology management, strategic planning",4,Vietnam,"Asia
",Developing,SMEs (Pharmaceutical),Logistics Act,Logistics / Operational Management,0.688,Q1,N/A,N/A,"Sustainable competitive advantage, SMEs, operations strategy, Vietnam, knowledge & technology, sense and respond, pharmaceutical industry",Quantitative,"Application of Sense and Respond (S&R), Manufacturing Strategy Index (MSI), AHP, NSCFI methods, interviews in 6 companies",Empirical / Exploratory,Diagnostic / predictive,Resource-Based View (RBV),"Quality, process design, planning, knowledge management, core and basic technology, organizational structure","High-risk advanced technology (spearhead T&K), unbalanced resource allocation, low development of long-term strategy in the sector","Consolidation of sustainable advantages through operational efficiency, adaptive strategic guidance (Analyzer), improved resource allocation and use of technology","Related to RBV, technological innovation, strategic planning, knowledge management, operational risk analysis"
Sustainable Financing Strategies for the SMEs: Two Alternative Models,2023,"Hossain, M.; Yoshino, N.; Tsubota, K.",3,"University / Research Center
",Bangladesh Institute of Development Studies (BIDS); Keio University; Toyo University,3,"Sustainable financing, credit models, SME development, public policy",4,Bangladesh,"Asia
",Developing,SMEs,Sustainability,Sustainable development / Economy,0.688,Q1,N/A,N/A,"SME financing models, credit wholesale program, default risk, digital finance, Bangladesh",Quantitative / Theoretical,"Theoretical economic models, econometric analysis, survey of 526 SMEs, comparison between beneficiaries and non-beneficiaries of the CW program",Applied / Empirical,Predictive / Evaluative,"Moral hazard theory, adverse selection, public-private partnerships","Identification of SMEs with a good track record, government support, digital mechanisms, training","High interest rates, need for collateral, asymmetric information, moral hazard, low coverage","Facilitates access to credit, improves business performance, and promotes sustainability through financial strengthening.","Related to PPP (public-private partnerships), financial inclusion, digital economy, entrepreneurial capacity building"
The influence of a company's inherent values on its sustainability: Evidence from a born-sustainable SME in the footwear industry,2023,"Lynch, C.; Ferasso, M.",2,University,Colorado College (USA); Autonomous University of Lisbon; Autonomous University of Chile,3,Sustainable Entrepreneurship; Business Ethics; Organizational Values,3,Portugal,Europe,Developed,SMEs,Cleaner and Responsible Consumption,Environmental Studies; Sustainable Business,1.198,Q1,N/A,N/A,"Sustainable entrepreneurship, inherent values, SME’s founder, CEO’s values, fashion industry, sustainable business model",Qualitative,Exploratory case study; semi-structured + thematic analysis,Qualitative / Empirical,Descriptive / Exploratory,Agency Theory; Schwartz's Value Theory; Sustainable Business Models,"Founder's personal values: veganism, innovation, social responsibility",Challenges in the sustainable supply chain; materials still partially carbon-dependent,"Ethical production, innovation in materials, reduced environmental impact, consumer awareness","Linked to SBM, internal social responsibility, circular economy, values-based leadership"
Enablers of ‘Creating Shared Value’: A Total Interpretive Structural Modeling–Polarity Approach,2023,"Shekhar, S.; Das, D.",2,University,"Faculty of Management Studies, University of Delhi",1,Strategic Management; Sustainability; Organizational Modeling,3,India,Asia,Developing,SMEs,Global Journal of Flexible Systems Management,"Management Science / Strategic Systems
",1.148,Q1,N/A,N/A,"Creating shared value, Innovation, Sustainability, TISM-P, Organizational strategy",Qualitative / Conceptual,"TISM-P (Total Interpretive Structural Modeling with Polarity), MICMAC analysis",Conceptual / Modeling,Theoretical / Structural,Creating Shared Value (Porter & Kramer); Strategic Management; Systems Thinking,"Industry, innovation and technology, corporate governance, dissemination of information","Incremental costs, complexity in the decision chain, limitations in governance","Stakeholder interaction, sustainable innovation, competitive advantage, financial and social performance","Related to competitive advantage, sustainability, triple result, organizational resilience"
"Intellectual capital, green innovation, and financial performance: The mediating role of sustainability",2023,"Rachmaniar, M.D.; Suyono, E.; Laksana, R.D.",3,University,"Universitas Jenderal Soedirman, Indonesia
",1,Business Sustainability; Innovation; Strategic Management,3,Indonesia,Asia,Developing,SMEs,International Journal of Management and Sustainability,Management; Sustainability,1.118,Q1,N/A,N/A,"Creative industry, financial performance, green innovation, intellectual capital, SME, sustainability",Quantitative,"SEM (AMOS), structured questionnaire, 335 responses",Empirical,Predictive / Explanatory,Resource-Based View (RBV),"Intellectual capital (human, structural, relational), green innovation","Resource limitations, innovation capacity, low adoption of green practices",Simultaneous improvement of financial performance and sustainability through strategic intangibles,"Although it does not mention “CSV ”, it is related to business sustainability, competitive advantage, RBV"
Creating Shared Value and Determinants of Sustainable Business Performance: Insights from a Literature Review,2024,"Musfar, T. F., Zulkarnain, Alwie, A. F., Wijayanto, G.",4,University,Universitas Riau,1,N/A,N/A,N/A,N/A,N/A,SMEs,KnE Social Sciences,General,N/A,N/A,N/A,N/A,"creating shared value, green entrepreneurial orientation, green innovation, green marketing strategies, sustainable business performance",Theoretical,Literature review,Literature review,Conceptual,Creating Shared Value,"Customer oriented, reducing cost of supply chain, green supply chain","Economic and social aspects, Corporate mindset, Investment in sustainable innovation","Includes economic, social and ecological value","Innovation, corporate social responsibility, stakeholder theory"
Theoretical framework of sustainable value creation by companies. What do we know so far?,2023,"Zioło, M., Bąk, I., Spoz, A.",3,University,"University of Szczecin, University of Technology, The John Paul II Catholic University of Lublin",3,Institute of Economics and Finance,1,N/A,N/A,N/A,SMEs,Corporate Social Responsibility and Environmental Management,Specific,"2,2",Q1,"8,3",Q1,"companies, ESG, SME, sustainability, sustainable value",Qualitative,Multidimensional correspondence analysis,Database,Descriptive,"creating sustainable value, stakeholder theory","Sustainable supply chain, Eco-innovations, Building relationships with stakeholders and consumers, Collaborative economy, Cost reduction, Energy savings, Use of renewable energy, Recycling, Use of green technology","Organizational Culture, Limited Resources, Regulations and Norms, Stakeholder Resistance","Sustainable value creation is understood through economic, environmental and social value creation","Innovation, social responsibility, stakeholder theory"
"Corporate social responsibility in micro-, small- and medium-sized enterprises: Multigroup analysis of family vs. nonfamily firms",2020,"Yáñez-Araque, B., Sánchez-Infante Hernández, J. P., Gutiérrez-Broncano, S., Jiménez-Estévez, P.",4,University,"University of Castilla-La Mancha, Complutense University of Madrid",2,"Department of Physical Activity and Sports Sciences, Department of Management and Marketing",2,Spain,Europe,Developed,SMEs,Journal of Business Research,Specific,"3,3",Q1,"10,5",Q1,"family business, CSR, MSMEs, moderating effect, PLS-SEM, SDGs",Quantitative,Partial Least Squares Structural Equation Modeling (PLS-SEM),Database,Predictive,Corporate Social Responsibility (CSR) Theory,"Management Commitment, Organizational Culture, Stakeholder Collaboration, Innovation","Lack of knowledge, Resistance to change, Short-term focus, Resource limitations","Economic, social and environmental dimensions","Social responsibility, stakeholder theory, sustainability"
The impact of creating shared value strategy on corporate sustainable development: From resources perspective,2023,"Li, W., Zhu, W., Wang, B.",3,University,Shandong University of Finance and Economics,1,School of Accountancy,1,China,Asia,Developed,Large enterprises,Corporate Social Responsibility and Environmental Management,Specific,"2,2",Q1,"8,3",Q1,"creating shared value, corporate sustainable development, social performance, environmental performance, financial performance",Quantitative,Regression,Interview,Predictive,resource-dependence theory and resource-based theory,"Management Commitment, Available Resources, Knowledge and Capabilities, External Environment","Resistance to Change, Lack of Information, Misalignment of Objectives","Social impact, economic development, sustainability","Social Responsibilities, Business Strategy, stakeholder theory"
Explaining the business case for environmental management practices in SMEs: The role of organisational capabilities for environmental communication,2021,"Reyes-Rodríguez, J. F.",1,University,Universidad Pontificia Bolivariana,1,Faculty of Business Administration,1,Denmark,Europe,Developed,SMEs,Journal of Cleaner Production,Specific,"2,06",Q1,"9,8",Q1,"environmental management practices, environmental communication, organisational capabilities, competitive advantage, small and medium-sized enterprises (SMEs)",Quantitative,Partial Least Squares Structural Equation Modeling (PLS-SEM),Survey,Predictive,"RBV, communication theory","Organizational Capabilities, Commitment to Sustainability, Interaction with Stakeholders","Lack of resources, lack of awareness of benefits","Sustainability, environmental management, competitiveness, communication","Innovation, sustainability, corporate social responsibility (CSR)"
"Exploring sustainability, good governance, and social responsibility in small and medium enterprises",2019,"Rubio‐Andrés, M., del Mar Ramos‐González, M., Sastre‐Castillo, M. Á., Danvila‐del‐Valle, I.",4,University,"CEU San Pablo University, Complutense University of Madrid, ISDI University, Universidad Panamericana",4,Department of Business Administration,1,Spain,Europe,Developed,SMEs,Corporate Social Responsibility and Environmental Management,Specific,"2,2",Q1,"8,3",Q1,"corporate social responsibility, good governance, shared value, SMEs, stakeholder engagement, sustainable management",Quantitative,Partial Least Squares Structural Equation Modeling (PLS-SEM),Survey,Predictive,stakeholders theory,"Governance, responsible practices, reputation","Lack of Resources, difficulties in external communication","Economic, social and environmental value","Corporate social responsibility (CSR), corporate reputation, good governance"
Creating shared value through open innovation approaches: Opportunities and challenges for corporate sustainability,2023,"Camilleri, M. A., Troise, C., Strazzullo, S., Bresciani, S.",4,University,"University of Malta, University in Evanston, University of Edinburgh, University of Turin, University of Naples Federico II",5,"Department of Corporate Communication, Medill School of Journalism, Department of Management, Department of Industrial Engineering",4,N/A,N/A,N/A,SMEs,Business Strategy and the Environment,Specific,"3,67",Q1,"12,5",Q1,"corporate social responsibility, corporate sustainability, creating shared value, open innovation, stakeholder engagement, strategic CSR",Theoretical,Literature review,Database,Conceptual,"stakeholder theory, institutional theory, signaling theory, legitimacy theory","Collaboration with stakeholders, innovation, social responsibility","Distrust, risks of sensitive information, lack of alignment of objectives","Economy, social impact, environmental sustainability","Innovation, corporate social responsibility, sustainability, stakeholder theory"
Empirical investigation of extended TOE model on Corporate Environment Sustainability and dimensions of operating performance of SMEs: A high order PLS-ANN approach,2022,"Dadhich, M., Hiran, K. K.",2,University,Sir Padampat Singhania University,1,N/A,N/A,N/A,N/A,N/A,SMEs,Journal of Cleaner Production,Specific,"2,06",Q1,"9,8",Q1,"sustainable development (SD), triple bottom line (TBL), operating performance (OP), corporate environmental sustainability (CES), PLS-ANN",Quantitative,"PLS-SEM, ANN",Survey,Predictive,"Triple Bottom Line (TBL), Technological, Organization and Environmental (TOE)","Efficiency, quality","Lack of alignment of objectives, technical obstacles","Efficiency, reliability, sustainability, resource optimization","Innovation, organizational efficiency, Corporate Environment Sustainability, Corporate Social Responsibility, Environment Sustainability, Economic Development, Supply Chain Management"
"Determinants of environmental, financial, and social sustainable performance of manufacturing SMEs in Malaysia",2023,"Yadegaridehkordi, E., Foroughi, B., Iranmanesh, M., Nilashi, M., Ghobakhloo, M.",5,University,"Universiti Kebangsaan Malaysia, I-Shou University, Edith Cowan University, UCSI University, Kaunas University of Technology, Uppsala University, Universiti Sains Malaysia",7,"Center for Software Technology and Management, Department of International Business Administration, School of Business and Law, Division of Industrial Engineering and Management, Centre for Global Sustainability Studies",5,Malaysia,Asia,Developing,SMEs,Sustainable Production and Consumption,Specific,"2,36",Q1,"10,9",Q1,"sustainability performance, resource-based view, institutional theory, green innovation, environmental sustainability, social sustainability",Quantitative,"PLS-SEM, ANN",Survey,Predictive,Resource-based view (RBV) and institutional theory,"Leadership, green innovation, stakeholder pressure","Lack of commitment, limited resources","Social, environmental, and financial sustainability","Sustainability, green innovation, entrepreneurial orientation"
Using structural equation modeling to test environmental performance in small and medium-sized manufacturers: can SEM help SMEs?,2007,"Hussey, D. M., Eagan, P. D.",2,"Corporation, University","Goodrich Corporation, University of Wisconsin",2,"Environmental Health and Safety, Engineering Professional Development",2,United States,North America,Developed,SMEs,Journal of Cleaner Production,Specific,"2,06",Q1,"9,8",Q1,"SMEs, structural equation modeling, SEM, environmental performance, education",Quantitative,Structural equation model (SEM),Survey,Exploratory,Malcolm Baldrige Criteria and systems perspective,"Leadership, environmental management systems, public responsibility",Lack of technical resources and environmental awareness,"Waste reduction, pollution prevention, environmental impact","Sustainability, social responsibility, operational efficiency"
Green business for sustainable development and competitiveness: an overview of Turkish logistics industry,2012,"Karagullea, A. O.",1,University,Istanbul University,1,N/A,N/A,Turkey,Asia,Developed,SMEs,Procedia - Social and Behavioral Sciences,General,N/A,N/A,N/A,N/A,"green business, logistics, sustainable development, competitiveness",Theoretical,Literature review,Literature review,Conceptual,N/A,"Efficient use of resources, cost reduction, adoption of green technologies, implementation of sustainable business practices","managers' perception, state regulations","Sustainability, competitiveness, sustainable development, eco-efficiency, green practices","Competitiveness, sustainable development, eco-efficiency, green logistics management, sustainable supply chain, efficiency"
Commitment to Sustainability in Small and Medium-Sized Enterprises: The Influence of Strategic Orientations and Management Values,2017,"Jansson, J., Nilsson, J., Modig, F., Hed Vall, G.",4,University,"Umea University, University of Gothenburg",2,"Research Institute of Sustainability and Ethics in Business, School of Business, Economics and Law",2,Sweden,Europe,Developed,SMEs,Business Strategy and the Environment,Specific,"3,67",Q1,"12,5",Q1,"strategic orientation, market orientation, entrepreneurial orientation, environmental issues, commitment to sustainability, small and medium-sized enterprises",Quantitative,Multivariate regression analysis,Survey,Exploratory,"Market orientation (MO), entrepreneurial orientation (EO)","Sustainability practices, business commitment","Insufficient resources, lack of understanding of benefits, implementation problems, negative attitudes, company culture",Proactivity in identifying and exploiting market opportunities,"Corporate Social Responsibility (CSR), sustainable innovation, eco-innovations, modern marketing theory and customer orientation"
Driving innovation management to create shared value and sustainable growth,2022,"Rubio‐Andrés, M., del Mar Ramos‐González, M., Sastre‐Castillo, M. Á.",3,University,"CEU San Pablo University, Complutense University of Madrid, ISDI University",3,Department of Business Administration,1,Spain,Europe,Developed,SMEs,Review of Managerial Science,General,"1,87",Q1,"7,8",Q1,"innovation management, social value, shared value, reputation, business value, SMEs, sustainable growth",Quantitative,Partial Least Squares Structural Equation Modeling (PLS-SEM),Survey,Predictive,"Innovation Management, Creating Shared Value (CSV)","Innovation management, reputation, social value",Focus exclusively on short-term financial results,"Sustainable growth, cultural transformation, opportunities in the global economy","Reputation, social value, business growth"
Sustainability in Small and Medium-Sized Enterprises: A Systematic Literature Review and Future Research Agenda,2022,"Martins, A., Branco, M. C., Melo, P. N., Machado, C.",4,University,"University of Porto, University of Minho, Polytechnic Institute of Cávado and Ave",3,Faculty of Economics,1,N/A,N/A,N/A,SMEs,Sustainability,Specific,"0,67",Q1,"3,3",Q2,"small and medium-sized enterprises, sustainability, systematic literature review",Theoretical,Literature review,Literature review,Conceptual,Business sustainability,Internal and external factors that influence the implementation of sustainable practices in SMEs,"Financial constraints, lack of knowledge and resources, and regulatory barriers","Integrating economic practices, social impact and environmental considerations","Corporate social responsibility, sustainable innovation, stakeholder theory, Institutional theory, Resource-based view, Consumer culture theory"
Sustainable business models of small and medium-sized enterprises and the relationships to be established within the supply chain to support these models,2023,"Macchion, L., Toscani, A. C., Vinelli, A.",3,University,University of Padova,1,Department of Management and Engineering,1,Italy,Europe,Developed,SMEs,Corporate Social Responsibility and Environmental Management,Specific,"2,2",Q1,"8,3",Q1,"business model, circular economy, corporate social responsibility, environmental policy, social policy, supply chain, sustainability, sustainable business models",Qualitative,Case study,Interview,Descriptive,Corporate social responsibility,Selection and evaluation of suppliers with sustainability criteria,Lower economic availability compared to large companies,"Strong alignment with sustainability goals, implementation of sustainability practices throughout the supply chain","Circular economy, corporate social responsibility (CSR), environmental and social policy"
Sustainable Supply Chains: Evidence from Small and Medium-Sized Manufacturers,2021,"Leu, J.-D., Lee, L. J.-H., Huang, Y.-W., Huang, C.-C.",4,University,National Central University,1,Department of Business Administration,1,Taiwan,Asia,Developed,SMEs,Sustainability,Specific,"0,67",Q1,"3,3",Q2,"small- and medium-sized enterprise, supply chains, fit, structural equation modeling, sustainable supply chain, sustainable development",Quantitative,Structural equation model (SEM),Survey,Exploratory,Resource-Based View,"Business engagement, supply chain cooperation, operations integration","Lack of regulatory control over other companies in the supply chain, social and technological complexity","Integration of intangible and tangible activities, inter-organizational collaboration, focus on sustainability","Theory of competitive advantage, corporate sustainability"
