title;rank;total_ratings;installs;average rating;growth (30 days);growth (60 days);price;category;5_star_ratings;4 star ratings;3 star ratings;2 star ratings;1 star ratings;paid;US_Sales;EU_sales;JP_sales;Global_sales;User_rating;Critic_Rating;
Solitaire;53;157757;5.0 M;4;1;2,7;0;GAME_CARD;121771;32009;6485;1307;3182;FALSE;85467;97311;133140;445187;9,4;67;
Solitaire;53;157757;5.0 M;4;1;2,7;0;GAME_CARD;114538;32551;6438;1309;2919;FALSE;157101;54697;108032;528993;1,4;66;
Truco ZingPlay: Jogo de cartas online grátis;54;155922;1.0 M;4;0,2;0,4;0;GAME_CARD;115228;10542;7061;4284;18804;FALSE;28722;174269;59797;289228;4,1;89;
ไพ่แคง - มีดัมมี่ ป๊อกเด้ง ไฮโล เก้าเก;55;155644;5.0 M;4;2,1;4,3;0;GAME_CARD;129663;10105;5550;2561;7763;FALSE;60424;7633;85796;374215;1,8;70;
Fairway Solitaire - Card Game;56;154738;5.0 M;4;0,6;1,4;0;GAME_CARD;116190;23913;7511;2297;4824;FALSE;95052;76180;79179;529370;7;75;
Solitaire: classic card game;57;153690;5.0 M;4;1,5;3,4;0;GAME_CARD;136827;9554;2785;1257;3264;FALSE;46832;58820;53786;354375;4,7;85;
Dummy Hero;58;152145;1.0 M;4;0,2;0,3;0;GAME_CARD;102186;25534;13116;3079;8228;FALSE;63052;22729;14629;249477;4,5;88;
Solitaire Collection;59;150087;5.0 M;4;0,4;1,1;0;GAME_CARD;121848;19155;4401;1457;3224;FALSE;6785;179533;142198;521442;6,5;21;
Reigns;60;146718;500.0 k;4;0,1;0,1;2,99;GAME_CARD;108356;25417;5887;2868;4187;TRUE;82845;99408;189067;615140;3,4;44;
Solitaire Classic;61;145613;5.0 M;4;0,7;1,6;0;GAME_CARD;114843;19267;5656;1668;4177;FALSE;33787;152948;40647;522345;9,1;19;
Solitaire!;62;145481;10.0 M;4;0;0;0;GAME_CARD;106115;27404;6189;1966;3803;FALSE;190168;19459;91365;377558;6,8;56;
The Elder Scrolls: Legends;63;143615;1.0 M;3;0,1;0,1;0;GAME_CARD;85985;19159;9904;5796;22768;FALSE;83982;153844;54493;299780;3,1;89;
Solitaire;64;142577;10.0 M;4;1,4;2,9;0;GAME_CARD;114899;14187;5903;2100;5485;FALSE;81913;120384;195814;412898;9,1;51;
Spider Solitaire;65;140758;10.0 M;4;0,4;1;0;GAME_CARD;106869;21050;6134;1638;5065;FALSE;122436;133883;69233;423634;2,3;89;
Spider Solitaire;65;140758;10.0 M;4;0,4;1;0;GAME_CARD;94475;20067;5296;1475;4247;FALSE;139537;187539;140950;581263;3;97;
Rummy 45 - Remi Etalat;66;138755;1.0 M;4;0,8;1,8;0;GAME_CARD;117683;11887;3998;1196;3988;FALSE;131455;72060;77868;308650;6,6;67;
三國殺名將傳;67;137405;500.0 k;4;0,2;0,4;0;GAME_CARD;92609;18503;10976;3668;11646;FALSE;113618;170130;22637;457308;8,9;93;
Classic Solitaire;68;136367;1.0 M;4;0,1;0,3;0;GAME_CARD;101950;25090;4293;1417;3614;FALSE;112159;54209;92627;476610;2,2;98;
Eredan Arena PVP;69;127654;1.0 M;4;0;0;0;GAME_CARD;96817;11631;5555;3667;9982;FALSE;30547;114096;19830;419187;6,5;36;
뉴 한판 맞고 (데이터 필요없는 무료 고스톱);70;127104;1.0 M;4;0;0;0;GAME_CARD;76095;26217;12177;3596;9016;FALSE;70675;43325;73177;228571;7,1;61;
Descarte;71;126880;5.0 M;4;0,3;0,6;0;GAME_CARD;83483;19818;9609;3609;10359;FALSE;47484;62676;75817;382208;6,8;54;
Spider Solitaire;72;125561;10.0 M;4;0,8;1,7;0;GAME_CARD;106869;21050;6134;1638;5065;FALSE;120579;87054;93397;593540;3,9;15;
Spider Solitaire;72;125561;10.0 M;4;0,8;1,7;0;GAME_CARD;94475;20067;5296;1475;4247;FALSE;124054;162999;23484;586296;7,3;79;
Phase 10: World Tour;73;124281;1.0 M;4;4,3;9;0;GAME_CARD;91703;12202;4426;3912;12034;FALSE;76109;95154;129250;375815;2,4;29;
Pokémon TCG Online;74;121295;5.0 M;4;0,9;1,9;0;GAME_CARD;85332;14387;6518;3129;11927;FALSE;138851;194154;122649;742620;1;98;
애니팡 맞고;75;116379;1.0 M;3;0,1;0,7;0;GAME_CARD;58634;16991;13211;6370;21171;FALSE;77843;181910;167598;484840;2,1;20;
Belote Multiplayer;76;115102;1.0 M;4;1,3;3,1;0;GAME_CARD;65184;33291;10404;1957;4263;FALSE;139489;28006;153165;358196;5,1;45;
피망 섯다;77;113870;1.0 M;4;0,5;0,5;0;GAME_CARD;74180;16081;8035;3008;12563;FALSE;125755;33324;187747;528278;2;83;
大富豪BEST;78;113663;1.0 M;4;0;0,1;0;GAME_CARD;63095;32122;11977;1919;4548;FALSE;139037;76244;73573;320108;4;78;
BlackJack 21 - Online Blackjack multiplayer casino;79;113566;5.0 M;4;0,2;0,3;0;GAME_CARD;83970;12489;4286;2178;10641;FALSE;69983;96619;156116;425800;3,1;85;
Solitaire Showtime: Tri Peaks Solitaire Free & Fun;80;111394;1.0 M;4;5,7;121,1;0;GAME_CARD;78190;20777;8995;1557;1874;FALSE;188175;39186;183781;633088;7,8;86;
한게임 신맞고 : 대한민국 원조 고스톱;81;109280;1.0 M;3;2,3;3,5;0;GAME_CARD;62429;14950;9248;3981;18670;FALSE;139142;130425;152162;558142;4;11;
Absolute Bingo- Free Bingo Games Offline or Online;82;109069;10.0 M;4;0;0,1;0;GAME_CARD;85752;15131;4027;1369;2788;FALSE;48348;180438;57855;512018;9,2;100;
Batak HD - İnternetsiz Batak;83;107962;10.0 M;4;0,2;0,4;0;GAME_CARD;67747;14080;8338;3145;14649;FALSE;173747;19116;150947;461847;7,1;10;
Mega Hit Poker: Texas Holdem;84;107933;1.0 M;4;3,6;6,2;0;GAME_CARD;78082;14437;5008;2001;8403;FALSE;187750;193740;95030;566561;1,9;97;
Spider Solitaire;85;107183;5.0 M;4;1,1;1,5;0;GAME_CARD;83092;16456;3117;1348;3167;FALSE;6586;53231;52034;212303;4,6;54;
Solitaire;86;106773;5.0 M;4;4,3;8,9;0;GAME_CARD;90322;9155;3306;1009;2979;FALSE;114898;32657;61549;468234;1,9;44;
Solitaire;86;106773;5.0 M;4;4,3;8,9;0;GAME_CARD;88759;7238;2562;919;2954;FALSE;135077;175436;129801;591600;6,4;95;
Solitaire;86;106773;5.0 M;4;4,3;8,9;0;GAME_CARD;66889;11772;5441;4213;10554;FALSE;103552;125785;66320;346202;1,5;24;
LG Smart Truco;87;106689;5.0 M;4;0,2;0,6;0;GAME_CARD;68707;14719;7514;4051;11695;FALSE;37704;36289;165092;474276;4,3;28;
Solitaire Cruise: Classic Tripeaks Cards Games;88;103958;5.0 M;4;10;27,8;0;GAME_CARD;70597;18028;8210;1847;5273;FALSE;193389;118886;144982;741886;2,6;96;
Gin Rummy Free;89;103945;1.0 M;4;0,1;0,3;0;GAME_CARD;66476;25258;6709;1739;3759;FALSE;176456;126293;185095;555295;4;39;
Solitaire;90;102434;10.0 M;4;4,7;13,1;0;GAME_CARD;90322;9155;3306;1009;2979;FALSE;165159;106040;160439;657212;4;45;
Solitaire;90;102434;10.0 M;4;4,7;13,1;0;GAME_CARD;88759;7238;2562;919;2954;FALSE;124835;100087;39349;508226;5,4;68;
Solitaire;90;102434;10.0 M;4;4,7;13,1;0;GAME_CARD;66889;11772;5441;4213;10554;FALSE;168417;125526;60604;574845;7,1;35;
Solitaire - Make Free Money & Play the Card Game;91;101659;1.0 M;4;1,3;2,8;0;GAME_CARD;67959;14879;8459;2829;7529;FALSE;135575;1680;99149;450060;1,4;69;
Solitaire: Super Challenges;92;100719;1.0 M;4;0;0,1;0;GAME_CARD;69497;20485;5637;1307;3791;FALSE;166585;54006;25290;495219;1,9;58;
Solitaire;93;98872;10.0 M;4;0,2;0,5;0;GAME_CARD;90322;9155;3306;1009;2979;FALSE;180501;61351;158535;508575;9,3;76;
Solitaire;93;98872;10.0 M;4;0,2;0,5;0;GAME_CARD;88759;7238;2562;919;2954;FALSE;151611;20235;94199;485994;2,1;83;
Solitaire;93;98872;10.0 M;4;0,2;0,5;0;GAME_CARD;66889;11772;5441;4213;10554;FALSE;118797;122080;36745;553820;9,2;69;
Solitaire Tripeaks: Farm Adventure;94;97299;1.0 M;4;1,4;3,1;0;GAME_CARD;73069;13513;5613;1787;3315;FALSE;42279;128195;133562;578450;1,5;36;
Cribbage Classic;95;97018;1.0 M;4;0,7;1,3;0;GAME_CARD;68858;21134;3377;1368;2278;FALSE;167836;79172;96797;458637;1,7;91;
Tien Len - Southern Poker;96;94069;10.0 M;4;0,1;0,3;0;GAME_CARD;67229;9785;8896;2076;6080;FALSE;57331;148769;81630;549333;5,8;74;
Otogi: Spirit Agents;97;91698;1.0 M;4;0;0,1;0;GAME_CARD;59670;16308;6950;2426;6341;FALSE;104761;52887;136477;430357;9,8;25;
Happy Scratch;98;90695;1.0 M;4;0,3;0,8;0;GAME_CARD;75861;4012;2827;1602;6391;FALSE;120847;193743;15045;472446;1,5;50;
Epic Cards Battle(TCG);99;90585;1.0 M;4;74,3;148,5;0;GAME_CARD;56281;19515;8904;2133;3749;FALSE;48507;45193;191493;324755;7,2;71;
Age of Ishtaria - A.Battle RPG;100;88866;1.0 M;4;0;0;0;GAME_CARD;49649;16835;7470;3670;11240;FALSE;58504;108328;67369;249275;2,8;84;
Zynga Poker™ – Free Texas Holdem Online Card Games;1;2582669;50.0 M;4;393,4;0,7;0;GAME_CASINO;1821678;301722;110833;52012;296421;FALSE;167509;188384;180651;712343;8,8;20;
Slotomania™ Slots: Casino Slot Machine Games;2;1822223;50.0 M;4;0,8;1,7;0;GAME_CASINO;1293272;259642;102017;42902;124388;FALSE;2755;123251;75752;348946;7,3;16;
Teen Patti Gold – Indian Family Card Game;3;1529589;50.0 M;4;1;1,9;0;GAME_CASINO;1210258;112027;46530;24581;136190;FALSE;44120;173050;75557;530839;5,7;84;
Teen Patti by Octro - Real 3 Patti Game;4;1494419;50.0 M;4;0,3;0,5;0;GAME_CASINO;1080443;110156;68549;41577;193691;FALSE;194890;15142;16181;276110;3,3;48;
Coin Dozer: Sweepstakes;5;1485440;50.0 M;4;0,3;0,6;0;GAME_CASINO;1102560;158208;85517;34400;104752;FALSE;29299;194097;89467;358531;9,5;14;
House of Fun: Play Casino Slots;6;1418336;10.0 M;4;0,9;1,6;0;GAME_CASINO;1065696;180009;82885;28435;61309;FALSE;46289;116701;101027;460733;1,6;89;
Scatter Slots - Las Vegas Casino Game 777 Online;7;1259099;10.0 M;4;0,9;1,9;0;GAME_CASINO;933699;202401;78707;14826;29463;FALSE;138757;83859;133998;464173;3,4;58;
Lucky Day - Win Real Rewards;8;1006982;10.0 M;3;0,2;0,5;0;GAME_CASINO;649353;60917;44026;37669;215015;FALSE;154711;2216;68084;341322;1,7;43;
Jackpot Party Casino Games: Spin FREE Casino Slots;9;925068;10.0 M;4;1;1,9;0;GAME_CASINO;671012;153638;52961;14029;33425;FALSE;46696;167411;45204;460743;1,2;59;
Huuuge Casino™ Free Slots & Best Slot Machines 777;10;755734;10.0 M;4;0,4;1;0;GAME_CASINO;533316;88102;42476;19261;72576;FALSE;136914;99121;117820;370987;9;60;
DoubleU Casino - Free Slots;11;664469;10.0 M;4;0,6;1,2;0;GAME_CASINO;458507;97014;48182;19338;41426;FALSE;188729;79535;102840;654255;9,3;97;
Jackpot Slot Machines - Slots Era™ Vegas Casino;12;649856;5.0 M;4;0,8;1,8;0;GAME_CASINO;476204;106016;39009;8107;20518;FALSE;13938;168657;64336;314236;6,4;90;
Caesars Slots: Casino Slots game;13;617349;10.0 M;4;0,9;1,8;0;GAME_CASINO;424459;77519;39348;19359;56661;FALSE;40291;92791;70954;314038;9,9;96;
myVEGAS Slots: Las Vegas Casino Games & Slots;14;616294;10.0 M;4;0;0;0;GAME_CASINO;457055;82563;30766;13683;32225;FALSE;163002;183402;79531;605315;8,8;65;
DH Texas Poker - Texas Hold'em;15;583815;10.0 M;4;0;0,1;0;GAME_CASINO;380317;79701;41575;16718;65502;FALSE;17548;70907;122587;271431;4,3;18;
Gold Fish Casino Slots - FREE Slot Machine Games;16;556639;10.0 M;4;0,3;0,5;0;GAME_CASINO;459497;44454;15369;7774;29543;FALSE;2409;84822;123440;449816;7,9;69;
BLACKJACK!;17;544905;10.0 M;4;0;0,1;0;GAME_CASINO;392404;100738;26490;5663;19608;FALSE;182467;109531;190252;678003;5;10;
Hit it Rich! Lucky Vegas Casino Slot Machine Game;18;493071;5.0 M;4;0,2;0,5;0;GAME_CASINO;344195;68441;30992;14931;34510;FALSE;96577;34301;124387;372182;6;12;
Cash Frenzy™ Casino – Free Slots Games;19;485882;10.0 M;4;0,2;0,5;0;GAME_CASINO;404060;44200;14354;6230;17036;FALSE;148477;104960;109827;388418;9,1;13;
Wizard of Oz Free Slots Casino;20;482246;10.0 M;4;0,4;0,9;0;GAME_CASINO;377560;57203;20891;7865;18725;FALSE;51504;29336;26750;365903;9,4;37;
Dummy ดัมมี่ ไพ่แคง เกมไพ่ฟรี;21;477132;10.0 M;4;227105,7;2,2;0;GAME_CASINO;367411;48463;28359;9074;23822;FALSE;64184;27305;6222;383481;2,2;78;
Full House Casino - Free Vegas Slots Machine Games;22;455282;5.0 M;4;0,1;0,1;0;GAME_CASINO;365871;33169;22482;7247;26511;FALSE;172152;181094;198160;569662;1,3;43;
Slots (Golden HoYeah) - Casino Slots;23;431936;10.0 M;4;0,6;1,1;0;GAME_CASINO;299466;49060;33254;12770;37384;FALSE;33935;48374;45081;298473;5,6;33;
Luxy Poker-Online Texas Holdem;24;423010;5.0 M;4;0,3;0,7;0;GAME_CASINO;298900;42958;25401;11181;44567;FALSE;64320;152569;60814;573020;7,6;77;
Vegas Slots - DoubleDown Casino;25;422035;10.0 M;4;0,5;1,1;0;GAME_CASINO;286143;56390;26064;15856;37580;FALSE;62012;36680;134855;438806;6,8;70;
Texas HoldEm Poker Deluxe;26;401912;10.0 M;4;0;0;0;GAME_CASINO;280648;56377;27394;8958;28533;FALSE;124242;192341;157110;483036;5,9;95;
เก้าเกไทย;27;394704;10.0 M;4;0,1;0,3;0;GAME_CASINO;309185;26459;17197;8513;33346;FALSE;56898;187005;40802;348404;4,6;16;
Cashman Casino: Casino Slots Machines! 2M Free!;28;392274;10.0 M;4;1,1;2,2;0;GAME_CASINO;289544;46703;20683;9892;25450;FALSE;66966;182981;65581;371523;6,6;94;
Slots: Heart of Vegas™ – Free Casino Slots Games;29;377401;10.0 M;4;0,3;0,6;0;GAME_CASINO;258486;45068;23157;11678;39010;FALSE;49748;140892;69594;500653;5,5;37;
Casino Jackpot Slots - Infinity Slots™ 777 Game;30;367694;1.0 M;4;0,1;0,1;0;GAME_CASINO;278174;55844;18491;4517;10665;FALSE;85968;110154;11898;447318;7,9;85;
my KONAMI Slots - Casino Games & Fun Slot Machines;31;351166;5.0 M;4;0,5;1,2;0;GAME_CASINO;248240;47419;22591;9903;23011;FALSE;107779;185214;116284;482630;4,8;45;
POP! Slots ™- Free Vegas Casino Slot Machine Games;32;343727;10.0 M;4;2,8;6,1;0;GAME_CASINO;277118;21504;10762;6273;28067;FALSE;173361;35156;76133;302304;9,5;17;
Tycoon Casino Free Slots: Vegas Slot Machine Games;33;333168;5.0 M;4;0,9;2;0;GAME_CASINO;293637;16901;7210;3485;11931;FALSE;112769;156156;64132;427276;8,6;99;
GSN Casino: Slots and Casino Games - Vegas Slots;34;318101;10.0 M;4;0,2;0,4;0;GAME_CASINO;218298;35139;19922;11200;33540;FALSE;54990;108165;65514;436935;8,7;37;
Slots Pharaoh's Way Casino Games & Slot Machine;35;316679;10.0 M;4;0,1;0,2;0;GAME_CASINO;252941;33956;12697;4255;12827;FALSE;104010;106539;105053;400542;3,6;25;
Lotsa Slots - Free Vegas Casino Slot Machines;36;313214;10.0 M;4;3,2;7,8;0;GAME_CASINO;244252;38385;15608;4462;10504;FALSE;126112;104874;134586;547488;4,1;18;
Big Fish Casino - Play Slots and Casino Games;37;312113;10.0 M;4;0;0;0;GAME_CASINO;238241;41399;13246;4698;14526;FALSE;120182;176386;199653;683888;8,9;37;
Tiến lên Miền Nam - Tiến Lên - ZingPlay;38;306937;10.0 M;4;0,8;1,6;0;GAME_CASINO;248156;14000;6875;3866;34038;FALSE;184730;98459;21590;577407;6,7;43;
Club Vegas 2021: New Slots Games & Casino bonuses;39;306128;5.0 M;4;4,9;12,1;0;GAME_CASINO;266535;19491;6879;2721;10498;FALSE;148662;175773;165363;756869;8,8;77;
麻將 明星3缺1麻將–台灣16張麻將Mahjong;40;SLOT;Poker;292630;5.0 M;4;0,5;0,9;0;GAME CASINO;207533;29742;13572;5187;194604;176008;51933;659113;8,4;77;
Billionaire Casino Slots - The Best Slot Machines;41;272892;10.0 M;4;1,1;2,4;0;GAME_CASINO;194550;29431;13763;6678;28469;FALSE;38589;82074;31427;438707;4,6;58;
Jackpot World™ - Free Vegas Casino Slots;42;272095;5.0 M;4;225,1;5,5;0;GAME_CASINO;206509;33265;13164;4388;14767;FALSE;111520;159512;83804;428741;7,9;36;
GAMEE Prizes - Play Free Games, WIN REAL CASH!;43;266126;10.0 M;4;5550,2;14,5;0;GAME_CASINO;176379;35942;22679;9287;21836;FALSE;195007;8596;170801;640903;4,9;72;
NEW SLOTS 2021－free casino games & slot machines;44;265946;5.0 M;4;0,9;1,8;0;GAME_CASINO;219920;23950;8698;2822;10553;FALSE;183193;91579;138327;611086;7,2;94;
Quick Hit Casino Games - Free Casino Slots Games;45;264556;10.0 M;4;0,5;1,1;0;GAME_CASINO;189320;36506;18622;5091;15015;FALSE;28183;63273;144971;527996;9,5;57;
Tongits Go-Exciting and Competitive Card Game;46;258755;10.0 M;4;6,1;13,5;0;GAME_CASINO;222685;12554;7642;3397;12474;FALSE;101535;182359;24585;312781;5,2;26;
Gaminator Casino Slots - Play Slot Machines 777;47;215021;5.0 M;4;1;2,3;0;GAME_CASINO;170145;17010;7086;3398;17380;FALSE;101967;132086;88803;449356;9,6;44;
ไพ่เท็กซัสโบย่า-Boyaa Texas Poker โป๊กเกอร์มือโปร;48;211680;5.0 M;4;0,2;0,4;0;GAME_CASINO;160936;22352;11006;3828;13555;FALSE;75450;171409;51721;547348;1,1;61;
Double Win Casino Slots - Free Video Slots Games;49;211511;1.0 M;4;1,1;2,2;0;GAME_CASINO;174952;18748;7633;2843;7333;FALSE;111612;147737;129047;615917;4,7;35;
UTP - Ultimate Teen Patti (3 Patti);50;208279;10.0 M;4;0,4;0,7;0;GAME_CASINO;146678;19467;7368;4159;30605;FALSE;11715;138123;158856;360213;8,5;28;
Free Slot Machines with Bonus Games!;51;207326;5.0 M;4;0,2;0,5;0;GAME_CASINO;189655;7941;3925;1388;4415;FALSE;51927;149546;6114;336198;5,1;21;
Hot Shot Casino Free Slots Games: Real Vegas Slots;52;204371;5.0 M;4;0,2;0,4;0;GAME_CASINO;147841;26775;14092;3867;11793;FALSE;141123;179208;182011;786475;1,6;76;
Bingo Tycoon;53;189656;10.0 M;4;54,5;0;0;GAME_CASINO;127766;19807;11872;6245;23964;FALSE;51785;130579;34670;394582;8,8;13;
Coin Dozer: Casino;54;183628;5.0 M;4;0,6;1,1;0;GAME_CASINO;141239;20865;10352;3829;7340;FALSE;179551;170931;60696;486213;5;56;
MONOPOLY Slots - Slot Machines;55;179520;5.0 M;4;1,1;2,2;0;GAME_CASINO;139632;11699;5599;3789;18798;FALSE;183661;32333;23263;453284;4,6;28;
Willy Wonka Slots Free Casino;56;179001;1.0 M;4;0,5;1,1;0;GAME_CASINO;138485;21446;8344;2918;7805;FALSE;94060;78063;168351;539646;9,5;10;
88 Fortunes Casino Games & Free Slot Machine Games;57;177051;1.0 M;4;0,7;1,4;0;GAME_CASINO;154436;8822;3644;1672;8474;FALSE;150312;111589;106476;615226;5,9;67;
Roulette Royale - FREE Casino;58;174066;10.0 M;4;1,4;2,7;0;GAME_CASINO;123770;19227;11002;5367;14697;FALSE;84366;78145;160685;409182;5,1;34;
Slots Free - Big Win Casino™;59;173372;5.0 M;4;0;0;0;GAME_CASINO;126569;21203;10941;4076;10581;FALSE;38881;157214;41470;318499;9,1;96;
Pmang Poker : Casino Royal;60;172651;5.0 M;4;0,7;0,9;0;GAME_CASINO;106066;26042;13410;4426;22704;FALSE;158163;77839;151834;487728;8,1;23;
Slotpark - Online Casino Games & Free Slot Machine;61;172200;5.0 M;4;1,4;3;0;GAME_CASINO;123431;19427;8684;4217;16439;FALSE;120283;64121;164320;431968;2,8;70;
Slots Casino - Jackpot Mania;62;170510;5.0 M;4;0,3;0,6;0;GAME_CASINO;144759;10409;4881;2271;8188;FALSE;3646;124052;143677;560977;5,6;51;
Bingo by Alisa - Free Live Multiplayer Bingo Games;63;154112;1.0 M;4;0;0;0;GAME_CASINO;119255;21177;7308;2113;4257;FALSE;94643;194334;148199;638441;6,4;49;
Poker Texas Boyaa;64;146663;5.0 M;3;0,1;0,2;0;GAME_CASINO;84613;13974;13184;5793;29096;FALSE;131595;101911;80129;328948;4,1;88;
Scratch Day;65;145635;5.0 M;3;0,1;0,3;0;GAME_CASINO;88085;17381;12934;5744;21490;FALSE;58466;17458;138412;468540;7,9;49;
Cổng game ZingPlay - Game bài - Game cờ - Tiến lên;66;142948;10.0 M;3;1,5;3,1;0;GAME_CASINO;95538;7899;5039;2809;31659;FALSE;117937;125346;107879;629642;6,7;50;
Slot Machine - FREE Casino;67;141345;10.0 M;4;11,4;22,9;0;GAME_CASINO;83149;26077;14384;5285;12447;FALSE;16275;122303;170619;509547;8,7;32;
Rock N' Cash Casino Slots -Free Vegas Slot Games;68;140882;1.0 M;4;2,5;5,6;0;GAME_CASINO;103574;20093;9394;2580;5239;FALSE;10492;36285;177263;309614;1,3;78;
Slots: Get Rich Free Slots Casino Games Offline;69;139860;1.0 M;4;0,7;1,4;0;GAME_CASINO;126642;5717;2420;1095;3984;FALSE;24496;32093;89677;257452;8,3;77;
Bingo Journey - Lucky & Fun Casino Bingo Games;70;138883;1.0 M;4;2,4;4,7;0;GAME_CASINO;103586;18665;8883;2911;4835;FALSE;61825;169357;132895;657033;4,5;55;
Best Casino Free Slots: Casino Slot Machine Games;71;131646;1.0 M;4;0;0;0;GAME_CASINO;85071;22022;10736;4148;9666;FALSE;180543;148319;28326;412191;6,9;71;
Stars Slots - Casino Games;72;126322;1.0 M;4;2,6;5,6;0;GAME_CASINO;103766;10635;5038;1742;5138;FALSE;111910;9305;124047;289044;6,6;95;
Jackpot Magic Slots™: Social Casino & Slot Games;73;125918;5.0 M;4;0,1;0,2;0;GAME_CASINO;88160;15582;6712;2896;12565;FALSE;72981;27739;31247;390927;9,1;62;
Bingo Holiday: Free Bingo Games;74;123277;1.0 M;4;3,6;6,3;0;GAME_CASINO;90489;20226;8054;1588;2918;FALSE;129435;162653;72570;529399;6;54;
Free Slots!;75;122801;5.0 M;4;0,8;1,9;0;GAME_CASINO;110967;5426;2458;1019;2928;FALSE;16980;185665;105574;349814;6,1;44;
ไพ่แคง-รวมดัมมี่dummy ป๊อกเด้ง เก้าเกไทย เกมไพ่ฟรี;76;120434;1.0 M;4;1,5;3;0;GAME_CASINO;104694;7396;4236;1375;2731;FALSE;151856;160666;181401;620704;6,8;45;
Cash Storm Casino - Free Vegas Jackpot Slots Games;77;117668;1.0 M;4;106,2;4,2;0;GAME_CASINO;102696;5785;3091;1401;4692;FALSE;38868;175087;89413;541541;3,1;47;
Free Slots Casino - Adventures;78;116891;1.0 M;4;0;0,1;0;GAME_CASINO;103484;5940;2023;807;4634;FALSE;174130;19504;113584;573492;4,3;11;
myVEGAS Blackjack 21 - Free Vegas Casino Card Game;79;116673;1.0 M;4;0,1;0,1;0;GAME_CASINO;93674;13383;3198;1609;4807;FALSE;163459;86232;23057;463498;6;41;
Cash Blitz Free Slots: Casino Slot Machine Games;80;112869;1.0 M;4;4,1;9,6;0;GAME_CASINO;102054;5274;2202;730;2607;FALSE;122331;60830;162094;362835;8;37;
SLOTS - Black Diamond Casino;81;107509;1.0 M;4;0,1;0,2;0;GAME_CASINO;79688;14753;3703;2096;7267;FALSE;129829;58847;116384;425657;4,5;58;
Winning Slots casino games:free vegas slot machine;82;107253;5.0 M;4;0,3;0,7;0;GAME_CASINO;83222;6679;4141;3006;10203;FALSE;53232;133564;29716;305239;4,9;76;
ไพ่เท็กซัสไทย HD;83;103380;1.0 M;4;0;0,1;0;GAME_CASINO;78160;10300;5230;1980;7710;FALSE;81666;56344;52988;260857;9,9;24;
Vegas Downtown Slots™ - Slot Machines & Word Games;84;102352;1.0 M;4;0;0;0;GAME_CASINO;76766;11076;5291;2353;6863;FALSE;72299;121783;47129;314164;1,8;13;
ดัมมี่ไทยแลนด์-รวมไพ่แคง เก้าเก ไฮโล เกมไพ่ฟรี;85;100479;1.0 M;4;2,4;5,5;0;GAME_CASINO;91237;3977;2043;877;2342;FALSE;15781;181986;196396;666655;5,7;66;
Bingo™;86;99465;5.0 M;4;0;0;0;GAME_CASINO;71856;12049;6509;2619;6429;FALSE;27130;44653;109300;297462;8,6;13;
Slots on Tour Casino - Vegas Slot Machine Games HD;87;99082;500.0 k;4;0,1;0,2;0;GAME_CASINO;78458;14511;3405;749;1957;FALSE;119312;143299;124880;519120;9,6;53;
Lightning Link Casino: Best Vegas Casino Slots!;88;97488;5.0 M;4;3,1;5,5;0;GAME_CASINO;64510;12362;5972;3254;11387;FALSE;141947;29703;178723;402807;3,5;27;
Spin Day - Win Real Money;89;94814;1.0 M;3;0,1;0,2;0;GAME_CASINO;47906;8026;7360;4920;26599;FALSE;147921;132740;138057;541781;3,8;41;
Old Vegas Slots – Classic Slots Casino Games;90;94628;1.0 M;4;0,2;0,3;0;GAME_CASINO;78741;7178;3029;1389;4289;FALSE;104870;71248;105354;361222;4,3;50;
Royal Casino;91;92912;5.0 M;4;2,1;5,4;0;GAME_CASINO;67690;7454;4956;2668;10142;FALSE;62316;142618;87558;411558;1,1;21;
OMG! Fortune Slots - Grand Casino Games;92;90370;1.0 M;4;0;0;0;GAME_CASINO;68116;10388;5149;1826;4889;FALSE;70332;91725;50293;403824;3,1;90;
Blackjack 21;93;90110;1.0 M;4;0;0;0;GAME_CASINO;65034;10141;3586;2191;9155;FALSE;156780;30847;6789;251001;1,7;10;
Bingo Blaze - Free Bingo Games;94;89886;1.0 M;4;0,7;1,4;0;GAME_CASINO;72362;9441;4365;1308;2407;FALSE;187794;108282;92431;518616;7;51;
Fun Big 2;95;87528;1.0 M;4;0;0;0;GAME_CASINO;73570;6359;3015;1128;3454;FALSE;108376;121268;61103;298649;3,3;50;
Lotto Scratch – Las Vegas;96;87102;1.0 M;4;0,2;0,5;0;GAME_CASINO;72719;6222;2636;1238;4284;FALSE;16975;145996;137752;364678;2,1;56;
Slots: Free Slot Machines;97;86366;1.0 M;4;0,3;0,9;0;GAME_CASINO;66745;8015;4197;2003;5403;FALSE;78167;116742;39326;411054;6,7;26;
Jackpot Crush – Free Vegas Slot Machines;98;85258;1.0 M;4;4,2;9,7;0;GAME_CASINO;68846;9410;2950;960;3090;FALSE;190101;158455;183938;791309;8,3;69;
High 5 Casino: The Home of Fun & Free Vegas Slots;99;84646;1.0 M;4;0,2;0,5;0;GAME_CASINO;60073;8840;4614;2856;8260;FALSE;106095;192289;96889;454449;6;28;
Slots! CashHit Slot Machines & Casino Games Party;100;83313;1.0 M;4;0,1;0,3;0;GAME_CASINO;64498;9941;3313;1247;4311;FALSE;108086;196177;4772;591635;3,6;15;
